Family,Category,SuggestedName,Conflict,ProblemReasons
MHT_SectionHead-Unused,Section Marks,MHT-ME-FAM-Sectionhead-Unused,,
MHT_SectionHead,Section Marks,MHT-ME-FAM-Sectionhead,,
MHT_SectionTail,Section Marks,MHT-ME-FAM-Sectiontail,,
MHT_MatchlineRef,View Reference,MHT-ME-FAM-Matchlineref,,
MHT_F_Hosereel_Symbol,Generic Annotations,MHT-ME-FAM-F-Hosereel-Symbol,,
MHT_Booster_quad_symb,Generic Annotations,MHT-ME-FAM-Booster-Quad-Symb,,
MHT_P_SW PIT,Plumbing Fixtures,MHT-PL-PF-P-SW-PIT,,
MHT_H_Grated Pit,Generic Annotations,MHT-ME-FAM-H-Grated-Pit,,
Tee - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Tee-Soldered-CU,,
MHT_M_Air Terminal Tag,Air Terminal Tags,MHT-ME-FAM-M-Air-Terminal-Tag,,missing_system;missing_size;missing_shape
Victaulic-IR-FP-Elbow No 101-103,Pipe Fittings,MHT-ME-FAM-Victaulic-IR-FP-Elbow-No-101-103,,
Victaulic-CTS-Concentric Reducer No 650,Pipe Fittings,MHT-ME-FAM-Victaulic-CTS-Concentric-Reducer-No-650-01,DUP,
Victaulic-Grooved Coupling CTS_Face,Pipe Fittings,MHT-ME-FAM-Victaulic-Grooved-Coupling-CTS-Face,,
MHT_Keynote tag,Keynote Tags,MHT-ME-FAM-Keynote-Tag,,
Rectangular Long Radius Bend - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Long-Radius-Bend-Flanged,,missing_shape;missing_fitting;missing_size
Cable Tray Horizontal Cross,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Horizontal-Cross,,
Cable Tray Horizontal Tee,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Horizontal-Tee,,
Cable Tray Reducer,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Reducer,,
Cable Tray Union,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Union,,
Cable Tray Vertical Inside Bend,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Vertical-Inside-Bend,,
Cable Tray Vertical Outside Bend,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Vertical-Outside-Bend,,
Cable Tray Horizontal Bend,Cable Tray Fittings,MHT-ME-FAM-Cable-Tray-Horizontal-Bend,,
MHT_ViewTitle,View Titles,MHT-ME-FAM-Viewtitle,,
Rectangular Short Radius Bend - Flanged1,Duct Fittings,MHT-ME-DF-Rectangular-Short-Radius-Bend-Flanged1,,missing_shape;missing_fitting;missing_size
Rectangular Medium Radius Bend - Flanged1,Duct Fittings,MHT-ME-DF-Rectangular-Medium-Radius-Bend-Flanged1,,missing_shape;missing_fitting;missing_size
Rectangular Long Radius Bend - Flanged1,Duct Fittings,MHT-ME-DF-Rectangular-Long-Radius-Bend-Flanged1,,missing_shape;missing_fitting;missing_size
Victaulic-FP-FireLock EZ Rigid Coupling Style 009H,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Firelock-EZ-Rigid-Coupling-Style-009H,,
Victaulic-FP-Reducing Coupling Style 750,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Reducing-Coupling-Style-750,,
Victaulic-IPS-Concentric Reducer No 50,Pipe Fittings,MHT-ME-FAM-Victaulic-IPS-Concentric-Reducer-No-50,,
Victaulic-IPS-Tee-Reducing Tee-No 20-25,Pipe Fittings,MHT-ME-FAM-Victaulic-IPS-Tee-Reducing-Tee-No-20-25,,
Victaulic-IPS-Elbow No 10-13,Pipe Fittings,MHT-ME-FAM-Victaulic-IPS-Elbow-No-10-13,,
Victaulic-AGS-Rigid Coupling-Style W89,Pipe Fittings,MHT-ME-FAM-Victaulic-AGS-Rigid-Coupling-Style-W89,,
Victaulic-FP-Tee No 1,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Tee-No-1,,
Cap - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Cap-Plain-PVC-C1,,
Cross - Plain - PVC-C2,Pipe Fittings,MHT-ME-FAM-Cross-Plain-PVC-C2,,
Socket - Plain - PVC-C2,Pipe Fittings,MHT-ME-FAM-Socket-Plain-PVC-C2,,
Elbow - Plain - PVC-C2,Pipe Fittings,MHT-ME-FAM-Elbow-Plain-PVC-C2,,
Tee - Plain - PVC-C2,Pipe Fittings,MHT-ME-FAM-Tee-Plain-PVC-C2,,
Victaulic-FP-Elbow No 0011,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Elbow-No-0011,,
Victaulic-FP-Grooved Coupling2,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Grooved-Coupling2,,
Victaulic - CTS - Concentric Reducer No 650,Pipe Fittings,MHT-ME-FAM-Victaulic-CTS-Concentric-Reducer-No-650-02,DUP,
