Family,Category,SuggestedName,Conflict,ProblemReasons
"Round Cross","Duct Fittings","MHT-ME-DF-Round-Cross","","missing_shape;missing_fitting;missing_size"
"Round Elbow","Duct Fittings","MHT-ME-DF-Round-Elbow-DN102","",""
"Round Endcap","Duct Fittings","MHT-ME-DF-Round-Endcap","","missing_shape;missing_fitting"
"Round Takeoff - Shoe","Duct Fittings","MHT-ME-DF-Round-Takeoff-Shoe","","missing_shape;missing_fitting"
"Round Tee","Duct Fittings","MHT-ME-DF-Round-Tee","","missing_shape;missing_fitting"
"Round Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-Angle","","missing_shape;missing_fitting"
"Bend - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Bend-PVC-Sch-40-DWV","",""
"Cap - Generic","Pipe Fittings","MHT-ME-FAM-Generic-01","",""
"Coupling - Generic","Pipe Fittings","MHT-ME-FAM-Coupling-Generic","",""
"Coupling - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Coupling-PVC-Sch-40-DWV","",""
"Plug - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Plug-PVC-Sch-40-DWV","",""
"Reducer - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Reducer-PVC-Sch-40-DWV","",""
"Tee - Generic","Pipe Fittings","MHT-ME-FAM-Generic-02","",""
"Tee Sanitary - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Sanitary-PVC-Sch-40-DWV","",""
"Transition - Generic","Pipe Fittings","MHT-ME-FAM-Transition-Generic","",""
"Wye 45 Deg Double - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-45-Deg-Double-PVC-Sch-40-DWV","",""
"Round Takeoff","Duct Fittings","MHT-ME-DF-Round-Takeoff","","missing_shape;missing_fitting"
"Oval Endcap","Duct Fittings","MHT-ME-DF-Oval-Endcap","","missing_shape;missing_fitting"
"Rectangular Takeoff","Duct Fittings","MHT-ME-DF-Rectangular-Takeoff","","missing_shape;missing_fitting"
"Tee - Welded - Generic","Pipe Fittings","MHT-ME-FAM-Welded-Generic-01","",""
